10:24:19.870 -> Initializing SD card...
10:24:19.917 -> memory card is ready
10:24:19.917 -> Sats HDOP Latitude   Longitude   Fix  Date       Time     Date Alt    Course Speed Card  Distance Course Card  Chars Sentences Checksum
10:24:31.258 -> 0    9999 ********** *********** **** 05/03/2022 16:24:31 802  ****** ****** ***** ***   ******** ****** ***   2217  0         1        
10:24:31.445 -> 0    9999 ********** *********** **** 05/03/2022 16:24:32 27   ****** ****** ***** ***   ******** ****** ***   2351  0         1        
10:24:31.856 -> 0    9999 ********** *********** **** 05/03/2022 16:24:32 412  ****** ****** ***** ***   ******** ****** ***   2426  0         1        
10:24:32.043 -> 0    9999 ********** *********** **** 05/03/2022 16:24:32 608  ****** ****** ***** ***   ******** ****** ***   2426  0         1        
10:24:32.231 -> 0    9999 ********** *********** **** 05/03/2022 16:24:32 804  ****** ****** ***** ***   ******** ****** ***   2426  0         1        
10:24:32.418 -> 0    9999 ********** *********** **** 05/03/2022 16:24:33 35   ****** ****** ***** ***   ******** ****** ***   2565  0         1        
10:24:32.840 -> 0    9999 ********** *********** **** 05/03/2022 16:24:33 413  ****** ****** ***** ***   ******** ****** ***   2640  0         1        
10:24:33.028 -> 0    9999 ********** *********** **** 05/03/2022 16:24:33 610  ****** ****** ***** ***   ******** ****** ***   2640  0         1        
10:24:33.215 -> 0    9999 ********** *********** **** 05/03/2022 16:24:33 806  ****** ****** ***** ***   ******** ****** ***   2640  0         1        
10:24:33.449 -> 0    9999 ********** *********** **** 05/03/2022 16:24:34 26   ****** ****** ***** ***   ******** ****** ***   2773  0         1        
10:24:33.850 -> 0    9999 ********** *********** **** 05/03/2022 16:24:34 414  ****** ****** ***** ***   ******** ****** ***   2848  0         1        
10:24:34.056 -> 0    9999 ********** *********** **** 05/03/2022 16:24:34 611  ****** ****** ***** ***   ******** ****** ***   2848  0         1        
10:24:34.225 -> 0    9999 ********** *********** **** 05/03/2022 16:24:34 807  ****** ****** ***** ***   ******** ****** ***   2848  0         1        
10:24:34.434 -> 0    9999 ********** *********** **** 05/03/2022 16:24:35 33   ****** ****** ***** ***   ******** ****** ***   2985  0         1        
10:24:34.867 -> 0    9999 ********** *********** **** 05/03/2022 16:24:35 416  ****** ****** ***** ***   ******** ****** ***   3060  0         1        
10:24:35.041 -> 0    9999 ********** *********** **** 05/03/2022 16:24:35 613  ****** ****** ***** ***   ******** ****** ***   3060  0         1        
10:24:35.256 -> 0    9999 ********** *********** **** 05/03/2022 16:24:35 809  ****** ****** ***** ***   ******** ****** ***   3060  0         1        
10:24:35.426 -> 0    9999 ********** *********** **** 05/03/2022 16:24:35 1005 ****** ****** ***** ***   ******** ****** ***   3060  0         1        
10:24:35.625 -> 0    9999 ********** *********** **** 05/03/2022 16:24:36 72   ****** ****** ***** ***   ******** ****** ***   3233  0         1        
10:24:36.015 -> 0    9999 ********** *********** **** 05/03/2022 16:24:36 420  ****** ****** ***** ***   ******** ****** ***   3309  0         1        
10:24:36.221 -> 0    9999 ********** *********** **** 05/03/2022 16:24:36 616  ****** ****** ***** ***   ******** ****** ***   3309  0         1        
10:24:36.416 -> 0    9999 ********** *********** **** 05/03/2022 16:24:36 841  ****** ****** ***** ***   ******** ****** ***   3416  0         1        
10:24:36.820 -> 0    9999 ********** *********** **** 05/03/2022 16:24:37 405  ****** ****** ***** ***   ******** ****** ***   3492  0         1        
10:24:37.016 -> 0    9999 ********** *********** **** 05/03/2022 16:24:37 601  ****** ****** ***** ***   ******** ****** ***   3492  0         1        
10:24:37.233 -> 0    9999 ********** *********** **** 05/03/2022 16:24:37 798  ****** ****** ***** ***   ******** ****** ***   3492  0         1        
10:24:37.449 -> 0    9999 ********** *********** **** 05/03/2022 16:24:38 31   ****** ****** ***** ***   ******** ****** ***   3628  0         1        
10:24:37.831 -> 0    9999 ********** *********** **** 05/03/2022 16:24:38 419  ****** ****** ***** ***   ******** ****** ***   3703  0         1        
10:24:38.024 -> 0    9999 ********** *********** **** 05/03/2022 16:24:38 616  ****** ****** ***** ***   ******** ****** ***   3703  0         1        
10:24:38.241 -> 0    9999 ********** *********** **** 05/03/2022 16:24:38 812  ****** ****** ***** ***   ******** ****** ***   3703  0         1        
10:24:38.466 -> 0    9999 ********** *********** **** 05/03/2022 16:24:39 38   ****** ****** ***** ***   ******** ****** ***   3845  0         1        
10:24:38.862 -> 0    9999 ********** *********** **** 05/03/2022 16:24:39 416  ****** ****** ***** ***   ******** ****** ***   3920  0         1        
10:24:39.047 -> 0    9999 ********** *********** **** 05/03/2022 16:24:39 612  ****** ****** ***** ***   ******** ****** ***   3920  0         1        
10:24:39.240 -> 0    9999 ********** *********** **** 05/03/2022 16:24:39 808  ****** ****** ***** ***   ******** ****** ***   3920  0         1        
10:24:39.455 -> 0    9999 ********** *********** **** 05/03/2022 16:24:40 32   ****** ****** ***** ***   ******** ****** ***   4057  0         1        
10:24:39.840 -> 0    9999 ********** *********** **** 05/03/2022 16:24:40 418  ****** ****** ***** ***   ******** ****** ***   4132  0         1        
10:24:40.064 -> 0    9999 ********** *********** **** 05/03/2022 16:24:40 614  ****** ****** ***** ***   ******** ****** ***   4132  0         1        
10:24:40.221 -> 0    9999 ********** *********** **** 05/03/2022 16:24:40 810  ****** ****** ***** ***   ******** ****** ***   4132  0         1        
10:24:40.469 -> 0    9999 ********** *********** **** 05/03/2022 16:24:41 38   ****** ****** ***** ***   ******** ****** ***   4274  0         1        
10:24:40.853 -> 0    9999 ********** *********** **** 05/03/2022 16:24:41 416  ****** ****** ***** ***   ******** ****** ***   4349  0         1        
10:24:41.030 -> 0    9999 ********** *********** **** 05/03/2022 16:24:41 613  ****** ****** ***** ***   ******** ****** ***   4349  0         1        
10:24:41.248 -> 0    9999 ********** *********** **** 05/03/2022 16:24:41 809  ****** ****** ***** ***   ******** ****** ***   4349  0         1        
10:24:41.416 -> 0    9999 ********** *********** **** 05/03/2022 16:24:41 1005 ****** ****** ***** ***   ******** ****** ***   4349  0         1        
10:24:41.620 -> 0    9999 ********** *********** **** 05/03/2022 16:24:42 72   ****** ****** ***** ***   ******** ****** ***   4522  0         1        
10:24:42.031 -> 0    9999 ********** *********** **** 05/03/2022 16:24:42 419  ****** ****** ***** ***   ******** ****** ***   4598  0         1        
10:24:42.193 -> 0    9999 ********** *********** **** 05/03/2022 16:24:42 615  ****** ****** ***** ***   ******** ****** ***   4598  0         1        
10:24:42.385 -> 0    9999 ********** *********** **** 05/03/2022 16:24:42 840  ****** ****** ***** ***   ******** ****** ***   4702  0         1        
